id,Title,bodyPart,target,Equipment,secondaryMuscles,instructions,Desc,difficulty,category,updated_at,gifUrl,exercise_type
1,3/4 sit-up,waist,abs,body weight,"[""hip flexors"",""lower back""]","[""Lie flat on your back with your knees bent and feet flat on the ground."",""Place your hands behind your head with your elbows pointing outwards."",""Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle."",""Pause for a moment at the top, then slowly lower your upper body back down to the starting position."",""Repeat for the desired number of repetitions.""]","The 3/4 sit-up is an abdominal exercise performed with body weight. It involves curling the torso up to a 45-degree angle, engaging the abs, hip flexors, and lower back. This movement is commonly used to build core strength and stability.",beginner,strength,2026-01-03 11:41:16.790787+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0001.gif,BW
2,45° side bend,waist,abs,body weight,"[""obliques""]","[""Stand with your feet shoulder-width apart and your arms extended straight down by your sides."",""Keeping your back straight and your core engaged, slowly bend your torso to one side, lowering your hand towards your knee."",""Pause for a moment at the bottom, then slowly return to the starting position."",""Repeat on the other side."",""Continue alternating sides for the desired number of repetitions.""]","The 45° side bend is a bodyweight exercise targeting the abdominal muscles, particularly the obliques. It involves bending the torso to the side while standing, engaging the core for stability and control.",beginner,strength,2026-01-03 11:41:16.930942+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0002.gif,BW
3,air bike,waist,abs,body weight,"[""hip flexors""]","[""Lie flat on your back with your hands placed behind your head."",""Lift your legs off the ground and bend your knees at a 90-degree angle."",""Bring your right elbow towards your left knee while simultaneously straightening your right leg."",""Return to the starting position and repeat the movement on the opposite side, bringing your left elbow towards your right knee while straightening your left leg."",""Continue alternating sides in a pedaling motion for the desired number of repetitions.""]","The air bike is a bodyweight exercise targeting the abdominal muscles and hip flexors. It involves a pedaling motion while lying on your back, alternating elbow-to-knee contact to engage the core.",beginner,strength,2026-01-03 11:41:17.212278+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0003.gif,BW
6,alternate heel touchers,waist,abs,body weight,"[""obliques""]","[""Lie flat on your back with your knees bent and feet flat on the ground."",""Extend your arms straight out to the sides, parallel to the ground."",""Engaging your abs, lift your shoulders off the ground and reach your right hand towards your right heel."",""Return to the starting position and repeat on the left side, reaching your left hand towards your left heel."",""Continue alternating sides for the desired number of repetitions.""]","Alternate heel touchers is a bodyweight exercise targeting the abdominal muscles, particularly the obliques. It involves lying on your back, lifting your shoulders, and reaching side to side to touch your heels, engaging your core throughout.",beginner,strength,2026-01-03 11:41:17.430388+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0006.gif,BW
7,alternate lateral pulldown,back,lats,cable,"[""biceps"",""rhomboids""]","[""Sit on the cable machine with your back straight and feet flat on the ground."",""Grasp the handles with an overhand grip, slightly wider than shoulder-width apart."",""Lean back slightly and pull the handles towards your chest, squeezing your shoulder blades together."",""Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position."",""Repeat for the desired number of repetitions.""]","The alternate lateral pulldown is a cable machine exercise targeting the latissimus dorsi, with secondary emphasis on the biceps and rhomboids. It involves pulling handles towards the chest in an alternating fashion, focusing on back strength and muscle engagement.",beginner,strength,2026-01-03 11:41:17.70857+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0007.gif,M
9,assisted chest dip (kneeling),chest,pectorals,leverage machine,"[""triceps"",""shoulders""]","[""Adjust the machine to your desired height and secure your knees on the pad."",""Grasp the handles with your palms facing down and your arms fully extended."",""Lower your body by bending your elbows until your upper arms are parallel to the floor."",""Pause for a moment, then push yourself back up to the starting position."",""Repeat for the desired number of repetitions.""]","The assisted chest dip (kneeling) is a chest-focused exercise performed on a leverage machine, where the user kneels on a pad for support. This machine-assisted variation helps reduce the load, making it accessible for those building strength or learning proper dip technique.",beginner,strength,2026-01-03 11:41:17.961093+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0009.gif,M
10,assisted hanging knee raise with throw down,waist,abs,assisted,"[""hip flexors"",""lower back""]","[""Hang from a pull-up bar with your arms fully extended and your palms facing away from you."",""Engage your core and lift your knees towards your chest, keeping your legs together."",""Once your knees are at chest level, explosively throw your legs down towards the ground, extending them fully."",""Allow your legs to swing back up and repeat the movement for the desired number of repetitions.""]","The assisted hanging knee raise with throw down is an advanced core exercise that targets the abdominal muscles, with additional engagement of the hip flexors and lower back. The movement involves hanging from a pull-up bar, raising the knees to the chest, and then explosively throwing the legs downward, requiring significant core strength, coordination, and control.",advanced,strength,2026-01-03 11:41:18.191962+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0010.gif,BW
11,assisted hanging knee raise,waist,abs,assisted,"[""hip flexors""]","[""Hang from a pull-up bar with your arms fully extended and your palms facing away from you."",""Engage your core muscles and lift your knees towards your chest, bending at the hips and knees."",""Pause for a moment at the top of the movement, squeezing your abs."",""Slowly lower your legs back down to the starting position."",""Repeat for the desired number of repetitions.""]","The assisted hanging knee raise is an abdominal exercise performed while hanging from a pull-up bar, using assistance to help lift the knees toward the chest. It primarily targets the abs and also works the hip flexors.",beginner,strength,2026-01-03 11:41:18.393798+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0011.gif,BW
12,assisted lying leg raise with lateral throw down,waist,abs,assisted,"[""hip flexors"",""obliques""]","[""Lie flat on your back with your legs extended and your arms by your sides."",""Place your hands under your glutes for support."",""Engage your abs and lift your legs off the ground, keeping them straight."",""While keeping your legs together, lower them to one side until they are a few inches above the ground."",""Pause for a moment, then lift your legs back to the starting position."",""Repeat the movement to the other side."",""Continue alternating sides for the desired number of repetitions.""]","The assisted lying leg raise with lateral throw down is an abdominal exercise that targets the abs while also engaging the hip flexors and obliques. The movement involves lifting the legs while lying on your back, then lowering them to each side in a controlled manner, which challenges core stability and strength.",intermediate,strength,2026-01-03 11:41:18.576956+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0012.gif,BW
13,assisted lying leg raise with throw down,waist,abs,assisted,"[""hip flexors"",""quadriceps""]","[""Lie flat on your back with your legs extended and your arms by your sides."",""Place your hands under your glutes for support."",""Engage your core and lift your legs off the ground, keeping them straight."",""Raise your legs until they are perpendicular to the ground."",""Lower your legs back down to the starting position."",""Simultaneously, throw your legs down towards the ground, keeping them straight."",""Raise your legs back up to the starting position."",""Repeat for the desired number of repetitions.""]","The assisted lying leg raise with throw down is an abdominal exercise that targets the abs while also engaging the hip flexors and quadriceps. The movement involves raising the legs while lying on your back, then forcefully lowering them (throwing them down) and raising them again, often with a partner providing resistance or assistance.",intermediate,strength,2026-01-03 11:41:18.807394+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0013.gif,BW
14,assisted motion russian twist,waist,abs,medicine ball,"[""obliques"",""lower back""]","[""Sit on the ground with your knees bent and feet flat on the floor."",""Hold the medicine ball with both hands in front of your chest."",""Lean back slightly, engaging your abs and keeping your back straight."",""Slowly twist your torso to the right, bringing the medicine ball towards the right side of your body."",""Pause for a moment, then twist your torso to the left, bringing the medicine ball towards the left side of your body."",""Continue alternating sides for the desired number of repetitions.""]","The assisted motion Russian twist is a core exercise performed with a medicine ball. It targets the abdominal muscles and also engages the obliques and lower back. The movement involves twisting the torso from side to side while holding a medicine ball, which adds resistance and helps build core strength and stability.",beginner,strength,2026-01-03 11:41:19.139188+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0014.gif,W
15,assisted parallel close grip pull-up,back,lats,leverage machine,"[""biceps"",""forearms""]","[""Adjust the machine to your desired weight and height."",""Place your hands on the parallel bars with a close grip, palms facing each other."",""Hang from the bars with your arms fully extended and your feet off the ground."",""Engage your back muscles and pull your body up towards the bars, keeping your elbows close to your body."",""Continue pulling until your chin is above the bars."",""Pause for a moment at the top, then slowly lower your body back down to the starting position."",""Repeat for the desired number of repetitions.""]","The assisted parallel close grip pull-up is a back exercise performed on a leverage machine that helps users perform pull-ups with added support, making it easier to complete the movement and focus on form.",beginner,strength,2026-01-03 11:41:19.560359+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0015.gif,M
16,assisted prone hamstring,upper legs,hamstrings,assisted,"[""glutes"",""lower back""]","[""Lie face down on a mat or bench with your legs fully extended."",""Have a partner or use a resistance band to secure your ankles."",""Engage your hamstrings and lift your legs towards your glutes, keeping your knees straight."",""Pause for a moment at the top, then slowly lower your legs back down to the starting position."",""Repeat for the desired number of repetitions.""]","The assisted prone hamstring exercise targets the hamstrings with assistance from a partner or resistance band, making it accessible for those developing strength or needing support. It involves lying face down and curling the legs towards the glutes, focusing on hamstring engagement.",beginner,strength,2026-01-03 11:41:19.740915+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0016.gif,W
17,assisted pull-up,back,lats,leverage machine,"[""biceps"",""forearms""]","[""Adjust the machine to your desired weight and height settings."",""Grasp the handles with an overhand grip, slightly wider than shoulder-width apart."",""Hang with your arms fully extended and your feet off the ground."",""Engage your back muscles and pull your body up towards the handles, keeping your elbows close to your body."",""Continue pulling until your chin is above the handles."",""Pause for a moment at the top, then slowly lower your body back down to the starting position."",""Repeat for the desired number of repetitions.""]","The assisted pull-up is a machine-based exercise that helps users perform pull-ups with added support, making it easier to lift their body weight. It primarily targets the latissimus dorsi (lats) and also engages the biceps and forearms.",beginner,strength,2026-01-03 11:41:19.900166+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0017.gif,M
18,assisted standing triceps extension (with towel),upper arms,triceps,assisted (towel),"[""shoulders""]","[""Stand with your feet shoulder-width apart and hold a towel with both hands behind your head."",""Keep your elbows close to your ears and your upper arms stationary."",""Slowly extend your forearms upward, squeezing your triceps at the top."",""Pause for a moment, then slowly lower the towel back down to the starting position."",""Repeat for the desired number of repetitions.""]","The assisted standing triceps extension (with towel) is an exercise targeting the triceps using a towel for assistance. It is performed standing, with the towel held behind the head, extending the arms upward to work the triceps.",beginner,strength,2026-01-03 11:41:20.123659+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0018.gif,BW
19,assisted triceps dip (kneeling),upper arms,triceps,leverage machine,"[""chest"",""shoulders""]","[""Adjust the machine to your desired weight and height."",""Kneel down on the pad facing the machine, with your hands gripping the handles."",""Lower your body by bending your elbows, keeping your back straight and close to the machine."",""Pause for a moment at the bottom, then push yourself back up to the starting position."",""Repeat for the desired number of repetitions.""]","The assisted triceps dip (kneeling) is performed on a leverage machine, allowing users to target the triceps with support, making the exercise accessible for those who may not yet have the strength for unassisted dips. It also engages the chest and shoulders as secondary muscles.",beginner,strength,2026-01-03 11:41:20.375499+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0019.gif,M
20,balance board,upper legs,quads,body weight,"[""calves"",""hamstrings"",""glutes""]","[""Place the balance board on a flat surface."",""Step onto the balance board with one foot, ensuring it is centered."",""Slowly shift your weight onto the foot on the balance board, keeping your core engaged."",""Maintain your balance and stability as you hold the position for a desired amount of time."",""Repeat the exercise with the other foot.""]","The balance board exercise involves standing on a balance board with one foot, engaging the core and lower body muscles to maintain stability and balance. This exercise primarily targets the quads, while also engaging the calves, hamstrings, and glutes as secondary muscles.",intermediate,balance,2026-01-03 11:41:20.611955+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0020.gif,BW
22,barbell pullover to press,back,lats,barbell,"[""triceps"",""chest"",""shoulders""]","[""Lie flat on a bench with your head at one end and your feet on the ground."",""Hold the barbell with a pronated grip (palms facing away from you) and extend your arms straight above your chest."",""Keeping your arms straight, lower the barbell behind your head in an arc-like motion until you feel a stretch in your lats."",""Pause for a moment, then reverse the motion and press the barbell back to the starting position above your chest."",""Repeat for the desired number of repetitions.""]","The barbell pullover to press is a compound exercise that targets the lats and also works the triceps, chest, and shoulders. It involves lowering a barbell behind your head while lying on a bench, then pressing it back up over your chest.",intermediate,strength,2026-01-03 11:41:20.766333+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0022.gif,W
23,barbell alternate biceps curl,upper arms,biceps,barbell,"[""forearms""]","[""Stand up straight with your feet shoulder-width apart and hold a barbell in each hand, palms facing forward."",""Keep your upper arms stationary and exhale as you curl the weights while contracting your biceps."",""Continue to raise the barbells until your biceps are fully contracted and the barbells are at shoulder level."",""Hold the contracted position for a brief pause as you squeeze your biceps."",""Inhale as you slowly begin to lower the barbells back to the starting position."",""Repeat for the desired number of repetitions, alternating arms.""]","The barbell alternate biceps curl is a strength exercise targeting the biceps, performed by alternately curling a barbell with each arm while standing. It also engages the forearms as secondary muscles.",beginner,strength,2026-01-03 11:41:21.151357+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0023.gif,W
24,barbell bench front squat,upper legs,quads,barbell,"[""hamstrings"",""glutes"",""calves""]","[""Start by standing with your feet shoulder-width apart and the barbell resting on your upper chest, just below your collarbone."",""Hold the barbell with an overhand grip, keeping your elbows up and your upper arms parallel to the ground."",""Lower your body down into a squat position by bending at the knees and hips, keeping your back straight and your chest up."",""Pause for a moment at the bottom of the squat, then push through your heels to return to the starting position."",""Repeat for the desired number of repetitions.""]","The barbell bench front squat is a compound lower body exercise that targets the quadriceps, with secondary emphasis on the hamstrings, glutes, and calves. It requires holding a barbell in the front rack position and performing a squat, demanding good core stability, balance, and mobility.",intermediate,strength,2026-01-03 11:41:21.386363+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0024.gif,W
25,barbell bench press,chest,pectorals,barbell,"[""triceps"",""shoulders""]","[""Lie flat on a bench with your feet flat on the ground and your back pressed against the bench."",""Grasp the barbell with an overhand grip slightly wider than shoulder-width apart."",""Lift the barbell off the rack and hold it directly above your chest with your arms fully extended."",""Lower the barbell slowly towards your chest, keeping your elbows tucked in."",""Pause for a moment when the barbell touches your chest."",""Push the barbell back up to the starting position by extending your arms."",""Repeat for the desired number of repetitions.""]","The barbell bench press is a classic compound exercise that primarily targets the pectoral muscles, while also engaging the triceps and shoulders. It is performed by lying on a bench and pressing a barbell up and down in a controlled manner.",intermediate,strength,2026-01-03 11:41:21.606002+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0025.gif,W
26,barbell bench squat,upper legs,quads,barbell,"[""glutes"",""hamstrings"",""calves""]","[""Set up a barbell on a squat rack at chest height."",""Stand facing away from the rack, with your feet shoulder-width apart."",""Bend your knees and lower your body down into a squat position, keeping your back straight and chest up."",""Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart."",""Lift the barbell off the rack and step back, ensuring your feet are still shoulder-width apart."",""Lower your body down into a squat, keeping your knees in line with your toes."",""Pause for a moment at the bottom, then push through your heels to return to the starting position."",""Repeat for the desired number of repetitions.""]","The barbell bench squat is a compound lower body exercise that primarily targets the quadriceps, while also engaging the glutes, hamstrings, and calves. It involves squatting with a barbell, requiring good technique and strength.",intermediate,strength,2026-01-03 11:41:21.846018+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0026.gif,W
27,barbell bent over row,back,upper back,barbell,"[""biceps"",""forearms""]","[""Stand with your feet shoulder-width apart and knees slightly bent."",""Bend forward at the hips while keeping your back straight and chest up."",""Grasp the barbell with an overhand grip, hands slightly wider than shoulder-width apart."",""Pull the barbell towards your lower chest by retracting your shoulder blades and squeezing your back muscles."",""Pause for a moment at the top, then slowly lower the barbell back to the starting position."",""Repeat for the desired number of repetitions.""]","The barbell bent over row is a compound exercise targeting the upper back, requiring the lifter to hinge at the hips and pull a barbell towards the torso. It develops strength and muscle mass in the upper back, biceps, and forearms, and demands good posture and core stability.",intermediate,strength,2026-01-03 11:41:22.064083+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0027.gif,W
